Date,Mkt-RF,SMB,HML,RF
20/01/1998,1.63,-0.33,-0.94,0.021
20/01/1998,1.63,-0.33,-0.94,0.021
21/01/1998,-0.66,0.25,0.25,0.021
22/01/1998,-0.8,0.01,0.49,0.021
23/01/1998,-0.56,0.32,-0.23,0.021
26/01/1998,-0.25,-0.69,0.52,0.021
27/01/1998,0.97,-0.65,-0.28,0.021
28/01/1998,1.01,0.39,-0.64,0.021
29/01/1998,0.78,-0.14,-0.44,0.021
30/01/1998,-0.4,0.25,0.26,0.021
02/02/1998,1.93,-1.12,-0.89,0.021
03/02/1998,0.53,0.18,-0.02,0.021
04/02/1998,0.22,0.69,-0.34,0.021
05/02/1998,-0.15,0.63,0.23,0.021
06/02/1998,0.75,-0.5,0.09,0.021
09/02/1998,-0.09,0.43,0.13,0.021
10/02/1998,0.81,0.1,-0.25,0.021
11/02/1998,0.16,0,0.26,0.021
12/02/1998,0.36,-0.25,-0.02,0.021
13/02/1998,-0.25,0.68,0.05,0.021
17/02/1998,0.15,-0.43,0.46,0.021
18/02/1998,0.8,-0.5,-0.36,0.021
19/02/1998,-0.23,0.37,-0.17,0.021
20/02/1998,0.38,-0.34,0.03,0.021
23/02/1998,0.44,0.12,-0.42,0.021
24/02/1998,-0.74,0.39,0.49,0.021
25/02/1998,1.14,-0.31,-0.21,0.021
26/02/1998,0.56,0.03,-0.07,0.021
27/02/1998,0.05,0.06,0.2,0.021
02/03/1998,-0.16,0.06,0.56,0.018
03/03/1998,0.34,-0.34,0.51,0.018
04/03/1998,-0.42,0.4,0.17,0.018
05/03/1998,-1.03,-0.16,0.55,0.018
06/03/1998,1.85,-0.36,-0.64,0.018
09/03/1998,-0.32,-0.24,0.43,0.018
10/03/1998,1.07,-0.47,-0.23,0.018
11/03/1998,0.5,0.07,-0.14,0.018
12/03/1998,0.13,0.14,-0.31,0.018
13/03/1998,-0.08,0.19,0.29,0.018
16/03/1998,0.88,-0.43,0.21,0.018
17/03/1998,0.1,-0.47,0.77,0.018
18/03/1998,0.48,-0.2,-0.06,0.018
19/03/1998,0.4,0,-0.06,0.018
20/03/1998,0.57,-0.67,0.11,0.018
23/03/1998,-0.33,0.3,-0.13,0.018
24/03/1998,0.85,-0.26,-0.12,0.018
25/03/1998,-0.25,0.39,-0.13,0.018
26/03/1998,-0.06,0.28,-0.18,0.018
27/03/1998,-0.4,0.44,0,0.018
30/03/1998,-0.22,0.23,-0.27,0.018
31/03/1998,0.77,0.02,-0.1,0.018
01/04/1998,0.6,0.39,-0.6,0.02
02/04/1998,0.83,-0.71,0.13,0.02
03/04/1998,0.19,-0.19,0.1,0.02
06/04/1998,-0.31,-0.67,0.94,0.02
07/04/1998,-1.05,-0.56,0.63,0.02
08/04/1998,-0.49,0.73,0.06,0.02
09/04/1998,0.81,0.11,0.07,0.02
13/04/1998,-0.03,-0.3,0.76,0.02
14/04/1998,0.67,0.19,0.18,0.02
15/04/1998,0.37,0.16,0.02,0.02
16/04/1998,-0.88,0.42,0.03,0.02
17/04/1998,1.12,-0.46,-0.55,0.02
20/04/1998,0.17,0.65,-0.79,0.02
21/04/1998,0.24,0.51,-0.16,0.02
22/04/1998,0.29,-0.31,0.12,0.02
23/04/1998,-1.13,-0.03,0.39,0.02
24/04/1998,-0.98,0.18,0.07,0.02
27/04/1998,-2.14,-0.37,0.4,0.02
28/04/1998,0.15,0.64,-0.29,0.02
29/04/1998,0.89,0.03,-0.35,0.02
30/04/1998,1.47,-0.3,-0.32,0.02
01/05/1998,0.6,-0.5,0.28,0.02
04/05/1998,0.15,0.11,-0.23,0.02
05/05/1998,-0.59,0,0.11,0.02
06/05/1998,-0.83,0.36,0.29,0.02
07/05/1998,-0.83,0.21,0.4,0.02
08/05/1998,1.07,-0.39,-0.61,0.02
11/05/1998,-0.25,-0.31,0.46,0.02
12/05/1998,0.53,-0.81,-0.09,0.02
13/05/1998,0.27,-0.02,0.01,0.02
14/05/1998,-0.18,-0.21,0.22,0.02
15/05/1998,-0.78,0.02,0.49,0.02
18/05/1998,-0.44,-0.56,0.07,0.02
19/05/1998,0.38,0.35,-0.41,0.02
20/05/1998,0.47,-1.18,0.42,0.02
21/05/1998,-0.36,-0.08,0.58,0.02
22/05/1998,-0.55,-0.29,0.36,0.02
26/05/1998,-1.5,-0.58,1.05,0.02
27/05/1998,-0.37,-0.79,-0.54,0.02
28/05/1998,0.56,0.58,0.07,0.02
29/05/1998,-0.42,0.57,0.62,0.02
01/06/1998,-0.33,-1.36,1.13,0.019
02/06/1998,0.18,-0.63,0.25,0.019
03/06/1998,-0.78,0.66,0.38,0.019
04/06/1998,0.99,-0.33,-0.64,0.019
05/06/1998,1.45,-0.88,-0.59,0.019
08/06/1998,0.27,0.04,-0.03,0.019
09/06/1998,0.25,0.08,-0.48,0.019
10/06/1998,-0.7,-0.59,0.62,0.019
11/06/1998,-1.46,0.11,0.27,0.019
12/06/1998,0.09,-0.64,-0.39,0.019
15/06/1998,-1.93,0.11,0.59,0.019
16/06/1998,0.99,0.24,-1.03,0.019
17/06/1998,1.63,-0.54,-0.15,0.019
18/06/1998,-0.14,-0.47,-0.25,0.019
19/06/1998,-0.42,0.15,0.19,0.019
22/06/1998,0.33,0.37,-0.16,0.019
23/06/1998,1.36,0.01,-1.15,0.019
24/06/1998,1.13,-0.25,-0.53,0.019
25/06/1998,-0.31,0,0.2,0.019
26/06/1998,0.3,-0.25,0.23,0.019
29/06/1998,0.55,0.14,-0.28,0.019
30/06/1998,-0.2,0.85,-0.09,0.019
01/07/1998,1.12,-0.6,-0.17,0.018
02/07/1998,-0.2,-0.18,0.23,0.018
06/07/1998,0.85,-0.74,0.06,0.018
07/07/1998,-0.17,-0.14,0.12,0.018
08/07/1998,0.9,-0.68,-0.63,0.018
09/07/1998,-0.51,0.73,-0.01,0.018
10/07/1998,0.31,-0.32,-0.51,0.018
13/07/1998,0.1,-0.06,-0.2,0.018
14/07/1998,0.83,-0.65,-0.29,0.018
15/07/1998,-0.08,0.9,-0.56,0.018
16/07/1998,0.65,-0.35,-0.42,0.018
17/07/1998,0.2,-0.2,-0.31,0.018
20/07/1998,-0.13,0.08,-0.38,0.018
21/07/1998,-1.59,0.37,0.75,0.018
22/07/1998,-0.28,-0.86,-0.1,0.018
23/07/1998,-2.05,0.16,0.35,0.018
24/07/1998,-0.15,-0.28,-0.59,0.018
27/07/1998,0.2,-1.5,-0.12,0.018
28/07/1998,-1.5,0.3,0.35,0.018
29/07/1998,-0.46,0.05,0.21,0.018
30/07/1998,1.45,-0.85,-0.27,0.018
31/07/1998,-1.87,-0.38,0.6,0.018
03/08/1998,-0.87,-0.9,0.9,0.02
04/08/1998,-3.55,0.67,0.74,0.02
05/08/1998,0.47,-1.22,-0.24,0.02
06/08/1998,1.07,1.08,-0.68,0.02
07/08/1998,0.39,1.64,-0.19,0.02
10/08/1998,-0.59,-0.22,0.05,0.02
11/08/1998,-1.66,-0.89,0.14,0.02
12/08/1998,1.54,0.01,-0.05,0.02
13/08/1998,-0.87,-0.27,0.42,0.02
14/08/1998,-0.96,0.7,0.21,0.02
17/08/1998,1.51,-1.42,-0.74,0.02
18/08/1998,1.61,-0.38,-0.31,0.02
19/08/1998,-0.46,-0.74,0.46,0.02
20/08/1998,-0.67,-0.15,-0.12,0.02
21/08/1998,-1.16,-0.34,0.03,0.02
24/08/1998,0.38,-1.21,0.3,0.02
25/08/1998,0.21,-1.13,-0.28,0.02
26/08/1998,-1.09,-1.32,-0.04,0.02
27/08/1998,-3.92,0.03,0.57,0.02
28/08/1998,-1.7,-0.45,0.56,0.02
31/08/1998,-6.71,-0.26,2.45,0.02
01/09/1998,3.56,-0.49,-2.02,0.022
02/09/1998,-0.02,1.19,0.18,0.022
03/09/1998,-1.09,-0.29,-0.37,0.022
04/09/1998,-0.78,1,-0.08,0.022
08/09/1998,4.92,-0.93,-2.11,0.022
09/09/1998,-1.77,-0.66,1.08,0.022
10/09/1998,-2.52,0.27,0.64,0.022
11/09/1998,2.67,-0.25,-1.3,0.022
14/09/1998,2.04,-1.25,0.02,0.022
15/09/1998,0.72,-1.14,0.76,0.022
16/09/1998,0.84,-0.43,-0.08,0.022
17/09/1998,-2.35,1.09,0.72,0.022
18/09/1998,0.41,1.44,-0.39,0.022
21/09/1998,0.19,-0.58,-0.25,0.022
22/09/1998,0.7,0.53,-0.6,0.022
23/09/1998,3.24,-1.5,-0.81,0.022
24/09/1998,-2.05,0.85,0.7,0.022
25/09/1998,0.08,-0.47,-0.02,0.022
28/09/1998,0.34,-0.45,0.27,0.022
29/09/1998,-0.11,-0.42,-0.12,0.022
30/09/1998,-2.58,2.28,0.35,0.022
01/10/1998,-3.29,-0.47,1.43,0.015
02/10/1998,1.4,-1.69,0.17,0.015
05/10/1998,-1.91,-1.67,1.1,0.015
06/10/1998,-0.55,-0.75,0.08,0.015
07/10/1998,-1.8,-1.53,0.87,0.015
08/10/1998,-1.69,-2.52,0.24,0.015
09/10/1998,2.64,-0.48,-1.26,0.015
12/10/1998,1.65,0.99,-1.79,0.015
13/10/1998,-0.63,-1.14,1,0.015
14/10/1998,1.34,-0.37,-0.05,0.015
15/10/1998,4.06,-1.16,-1.18,0.015
16/10/1998,1.02,1.04,-0.62,0.015
19/10/1998,0.83,1.75,-0.47,0.015
20/10/1998,0.27,1.43,0.24,0.015
21/10/1998,0.59,0.9,-0.68,0.015
22/10/1998,0.87,1.27,-0.75,0.015
23/10/1998,-0.6,1.25,-0.45,0.015
26/10/1998,0.41,1.2,-0.55,0.015
27/10/1998,-0.53,0.65,0.19,0.015
28/10/1998,0.24,0.12,-0.13,0.015
29/10/1998,1.6,-0.73,-0.4,0.015
30/10/1998,1.22,-0.73,0.56,0.015
02/11/1998,1.4,0.84,-0.64,0.015
